goos: linux
goarch: amd64
pkg: github.com/erigontech/erigon/execution/types
cpu: Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz
BenchmarkSigHash_DynamicFeeTx-8   	  652020	      1866 ns/op	     209 B/op	       5 allocs/op
BenchmarkSigHash_DynamicFeeTx-8   	  592546	      1858 ns/op	     209 B/op	       5 allocs/op
BenchmarkSigHash_DynamicFeeTx-8   	  632512	      1839 ns/op	     209 B/op	       5 allocs/op
BenchmarkSigHash_DynamicFeeTx-8   	  633416	      1813 ns/op	     209 B/op	       5 allocs/op
BenchmarkSigHash_DynamicFeeTx-8   	  637050	      1829 ns/op	     209 B/op	       5 allocs/op
BenchmarkSigHash_DynamicFeeTx-8   	  612902	      1911 ns/op	     209 B/op	       5 allocs/op
BenchmarkSigHash_DynamicFeeTx-8   	  583544	      1826 ns/op	     209 B/op	       5 allocs/op
BenchmarkSigHash_DynamicFeeTx-8   	  619555	      1915 ns/op	     209 B/op	       5 allocs/op
BenchmarkSigHash_DynamicFeeTx-8   	  644390	      1825 ns/op	     209 B/op	       5 allocs/op
BenchmarkSigHash_DynamicFeeTx-8   	  559132	      1897 ns/op	     209 B/op	       5 allocs/op
BenchmarkSigHash_AccessListTx-8   	  674259	      1767 ns/op	     129 B/op	       3 allocs/op
BenchmarkSigHash_AccessListTx-8   	  697141	      1748 ns/op	     129 B/op	       3 allocs/op
BenchmarkSigHash_AccessListTx-8   	  658075	      1737 ns/op	     129 B/op	       3 allocs/op
BenchmarkSigHash_AccessListTx-8   	  717232	      1789 ns/op	     129 B/op	       3 allocs/op
BenchmarkSigHash_AccessListTx-8   	  574014	      1850 ns/op	     129 B/op	       3 allocs/op
BenchmarkSigHash_AccessListTx-8   	  699872	      1700 ns/op	     129 B/op	       3 allocs/op
BenchmarkSigHash_AccessListTx-8   	  649160	      1732 ns/op	     129 B/op	       3 allocs/op
BenchmarkSigHash_AccessListTx-8   	  641672	      1729 ns/op	     129 B/op	       3 allocs/op
BenchmarkSigHash_AccessListTx-8   	  668434	      1800 ns/op	     129 B/op	       3 allocs/op
BenchmarkSigHash_AccessListTx-8   	  684182	      1762 ns/op	     129 B/op	       3 allocs/op
BenchmarkSigHash_LegacyTx-8       	 1294614	       899.5 ns/op	     192 B/op	       4 allocs/op
BenchmarkSigHash_LegacyTx-8       	 1244930	       904.4 ns/op	     192 B/op	       4 allocs/op
BenchmarkSigHash_LegacyTx-8       	 1308219	       913.3 ns/op	     192 B/op	       4 allocs/op
BenchmarkSigHash_LegacyTx-8       	 1287492	       952.7 ns/op	     192 B/op	       4 allocs/op
BenchmarkSigHash_LegacyTx-8       	 1279563	       906.2 ns/op	     192 B/op	       4 allocs/op
BenchmarkSigHash_LegacyTx-8       	 1273404	       931.8 ns/op	     192 B/op	       4 allocs/op
BenchmarkSigHash_LegacyTx-8       	 1248862	       918.3 ns/op	     192 B/op	       4 allocs/op
BenchmarkSigHash_LegacyTx-8       	 1267459	       904.1 ns/op	     192 B/op	       4 allocs/op
BenchmarkSigHash_LegacyTx-8       	 1256101	       926.7 ns/op	     192 B/op	       4 allocs/op
BenchmarkSigHash_LegacyTx-8       	 1268116	       913.5 ns/op	     192 B/op	       4 allocs/op
BenchmarkSigHash_BlobTx-8         	  492265	      2782 ns/op	     241 B/op	       5 allocs/op
BenchmarkSigHash_BlobTx-8         	  386593	      2604 ns/op	     241 B/op	       5 allocs/op
BenchmarkSigHash_BlobTx-8         	  469598	      2604 ns/op	     241 B/op	       5 allocs/op
BenchmarkSigHash_BlobTx-8         	  470902	      2582 ns/op	     241 B/op	       5 allocs/op
BenchmarkSigHash_BlobTx-8         	  429874	      2594 ns/op	     241 B/op	       5 allocs/op
BenchmarkSigHash_BlobTx-8         	  430722	      2667 ns/op	     241 B/op	       5 allocs/op
BenchmarkSigHash_BlobTx-8         	  471136	      2560 ns/op	     241 B/op	       5 allocs/op
BenchmarkSigHash_BlobTx-8         	  442716	      2518 ns/op	     241 B/op	       5 allocs/op
BenchmarkSigHash_BlobTx-8         	  461695	      2519 ns/op	     241 B/op	       5 allocs/op
BenchmarkSigHash_BlobTx-8         	  377091	      2728 ns/op	     241 B/op	       5 allocs/op
PASS
ok  	github.com/erigontech/erigon/execution/types	72.726s
